"Author","Year","Accession","Replicate","Quantitation","Species","File"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_01.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_02.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_03.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_04.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_05.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_06.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_07.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_08.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_09.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_10.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_11.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_12.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_13.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_14.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_15.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_16.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_17.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_18.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_19.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_20.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_21.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_22.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_23.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_24.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_25.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_26.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_27.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_28.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_29.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_30.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_31.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_32.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_33.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_34.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_35.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_36.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_37.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_38.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_39.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_40.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_41.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_42.raw"
"Alahmad",2020,"PXD014936","M0373","","Homo sapiens","P19_031_NDUFC2_Taylor_M0373_patient_43.raw"
