"replicate","experiment","fraction","file"
"SEC1","fraction01",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction01.raw"
"SEC1","fraction02",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction02.raw"
"SEC1","fraction03",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction03.raw"
"SEC1","fraction04",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction04.raw"
"SEC1","fraction05",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction05.raw"
"SEC1","fraction06",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction06.raw"
"SEC1","fraction06",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction06version2.raw"
"SEC1","fraction07",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction07.raw"
"SEC1","fraction07",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction07version2.raw"
"SEC1","fraction08",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction08.raw"
"SEC1","fraction08",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction08version2.raw"
"SEC1","fraction09",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction09.raw"
"SEC1","fraction09",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction09version2.raw"
"SEC1","fraction10",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction10.raw"
"SEC1","fraction11",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction11.raw"
"SEC1","fraction12",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction12.raw"
"SEC1","fraction13",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction13.raw"
"SEC1","fraction14",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction14.raw"
"SEC1","fraction15",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction15.raw"
"SEC1","fraction16",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction16.raw"
"SEC1","fraction17",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_130715_PCP_SILAC_apoptosis_fraction17.raw"
