"file","replicate","experiment","fraction"
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-46_D10_01_4843.d","rep1","F46",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-47_D11_01_4844.d","rep1","F47",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-48_D12_01_4845.d","rep1","F48",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-49_E1_01_4846.d","rep1","F49",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-50_E2_01_4847.d","rep1","F50",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-51_E3_01_4848.d","rep1","F51",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-52_E4_01_4849.d","rep1","F52",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-53_E5_01_4850.d","rep1","F53",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-54_E6_01_4851.d","rep1","F54",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-55_E7_01_4852.d","rep1","F55",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-56_E8_01_4853.d","rep1","F56",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-57_E11_01_4854.d","rep1","F57",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-58_E12_01_4855.d","rep1","F58",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-59_F11_01_4856.d","rep1","F59",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-160916-01_A1_01_4791.d","rep1","F01",1
