Filename	Type	Experiment	Fraction	Charge
Bert_180208_P0549_PH_YL_T_R1_A01.raw	Protein	Size-exclusion chromatography	1	-
Bert_180208_P0549_PH_YL_T_R1_A02.raw	Protein	Size-exclusion chromatography	2	-
Bert_180208_P0549_PH_YL_T_R1_A03.raw	Protein	Size-exclusion chromatography	3	-
Bert_180208_P0549_PH_YL_T_R1_A04.raw	Protein	Size-exclusion chromatography	4	-
Bert_180208_P0549_PH_YL_T_R1_A05.raw	Protein	Size-exclusion chromatography	5	-
Bert_180208_P0549_PH_YL_T_R1_A06.raw	Protein	Size-exclusion chromatography	6	-
Bert_180208_P0549_PH_YL_T_R1_A07.raw	Protein	Size-exclusion chromatography	7	-
Bert_180208_P0549_PH_YL_T_R1_A08.raw	Protein	Size-exclusion chromatography	8	-
Bert_180208_P0549_PH_YL_T_R1_A09.raw	Protein	Size-exclusion chromatography	9	-
Bert_180208_P0549_PH_YL_T_R1_A10.raw	Protein	Size-exclusion chromatography	10	-
Bert_180208_P0549_PH_YL_T_R1_A11.raw	Protein	Size-exclusion chromatography	11	-
Bert_180208_P0549_PH_YL_T_R1_A12.raw	Protein	Size-exclusion chromatography	12	-
Bert_180208_P0549_PH_YL_T_R1_A13.raw	Protein	Size-exclusion chromatography	13	-
Bert_180208_P0549_PH_YL_T_R1_A14.raw	Protein	Size-exclusion chromatography	14	-
Bert_180208_P0549_PH_YL_T_R1_A15.raw	Protein	Size-exclusion chromatography	15	-
Bert_180208_P0549_PH_YL_T_R1_A16.raw	Protein	Size-exclusion chromatography	16	-
Bert_180208_P0549_PH_YL_T_R1_A17.raw	Protein	Size-exclusion chromatography	17	-
Bert_180208_P0549_PH_YL_T_R1_A18.raw	Protein	Size-exclusion chromatography	18	-
Bert_180208_P0549_PH_YL_T_R1_A19.raw	Protein	Size-exclusion chromatography	19	-
Bert_180208_P0549_PH_YL_T_R1_A20.raw	Protein	Size-exclusion chromatography	20	-
Bert_180208_P0549_PH_YL_T_R1_A21.raw	Protein	Size-exclusion chromatography	21	-
Bert_180208_P0549_PH_YL_T_R1_A22.raw	Protein	Size-exclusion chromatography	22	-
Bert_180208_P0549_PH_YL_T_R1_A23.raw	Protein	Size-exclusion chromatography	23	-
Bert_180208_P0549_PH_YL_T_R1_A24.raw	Protein	Size-exclusion chromatography	24	-
Bert_180208_P0549_PH_YL_T_R1_A25.raw	Protein	Size-exclusion chromatography	25	-
Bert_180208_P0549_PH_YL_T_R1_A26.raw	Protein	Size-exclusion chromatography	26	-
